"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"job09nut  ","P",07/17/2018 20:25,0,1,2         ,1         ,"{TSF}",0.0229,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.35,<0>  ,
"job09nut  ","P",07/17/2018 22:36,0,1,2         ,1         ,"{TSH}",0.0088,<0>  ,0.0113,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.89,<0>  ,
"job09nut  ","P",07/18/2018 0:47,0,1,2         ,1         ,"{TSE}",0.0032,<0>  ,0.0117,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.71,<0>  ,
"job09nut  ","P",07/18/2018 2:58,0,1,2         ,1         ,"{TSE}",0.0045,<0>  ,0.0128,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.54,<0>  ,
"job09nut  ","P",07/18/2018 5:09,0,1,2         ,1         ,"{TSE}",0.0196,<0>  ,0.0159,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,7.4,<0>  ,
"job09nut  ","P",07/18/2018 7:20,0,1,2         ,1         ,"{TSE}",0.0044,<0>  ,0.0148,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,9.78,<0>  ,
"job09nut  ","P",07/18/2018 9:31,0,1,2         ,1         ,"{TSE}",0.0136,<0>  ,0.0127,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,18.65,<0>  ,
"job09nut  ","P",07/18/2018 12:30,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH1} {SSE} {WS0}",0.0032,<0>  ,0.0153,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,16.74,<0>  ,
"job09nut  ","P",07/18/2018 12:31,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH1} {SSE} {WS0}",0.0038,<0>  ,0.014,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,20.53,<0>  ,
"job09nut  ","P",10/01/2018 0:06,0,1,2         ,1         ,"{TSE}",0.043,<0>  ,0.127,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.146,<0>  ,9.0,<0>  ,
"job09nut  ","P",10/01/2018 11:00,0,1,2         ,1         ,"{TSF}",0.074,<0>  ,0.251,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.106,<0>  ,7.9,<0>  ,
"job09nut  ","P",10/01/2018 13:11,0,1,2         ,1         ,"{TSF}",0.049,<0>  ,0.151,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.133,<0>  ,5.0,<0>  ,
"job09nut  ","P",10/01/2018 15:22,0,1,2         ,1         ,"{TSF}",0.015,<-4> [SBL] ,0.075,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.159,<0>  ,8.0,<0>  ,
"job09nut  ","P",10/01/2018 17:33,0,1,2         ,1         ,"{TSH}",0.015,<-4> [SBL] ,0.112,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.142,<0>  ,5.1,<0>  ,
"job09nut  ","P",10/01/2018 19:44,0,1,2         ,1         ,"{TSF}",0.015,<-4> [SBL] ,0.111,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.164,<0>  ,4.9,<0>  ,
"job09nut  ","P",10/01/2018 21:55,0,1,2         ,1         ,"{TSE}",0.046,<0>  ,0.114,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.097,<0>  ,4.6,<0>  ,
"job09nut  ","P",10/02/2018 2:17,0,1,2         ,1         ,"{TSE}",0.049,<0>  ,0.134,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.066,<0>  ,7.0,<0>  ,
"job09nut  ","P",10/02/2018 4:28,0,1,2         ,1         ,"{TSL}",0.037,<0>  ,0.128,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.084,<0>  ,8.1,<0>  ,
"job09nut  ","P",10/02/2018 6:39,0,1,2         ,1         ,"{TSF}",0.064,<0>  ,0.142,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.089,<0>  ,14.1,<0>  ,
"job09nut  ","P",10/02/2018 8:50,0,1,2         ,1         ,"{TSF}",0.089,<0>  ,0.171,<0>  ,0.02,<0>  ,0.104,<0>  ,0.124,<0>  ,19.6,<0>  ,
"job09nut  ","P",10/02/2018 10:50,0,1,1         ,1         ,"{CSP} {PNP} {TSF} {WH0} {ESE} {WS0}",0.015,<-4> [SBL] ,0.075,<0>  ,0.02,<0>  ,0.122,<0>  ,0.142,<0>  ,6.0,<0>  ,
"job09nut  ","P",10/02/2018 10:51,0,1,1         ,2         ,"{CSP} {PNP} {TSF} {WH0} {ESE} {WS0}",0.015,<-4> [SBL] ,0.074,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.146,<0>  ,4.4,<0>  ,
"job09nut  ","P",10/02/2018 11:01,0,1,2         ,1         ,"{TSF}",0.052,<0>  ,0.133,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.12,<0>  ,15.1,<0>  ,
"job09nut  ","P",11/13/2018 10:15,0,1,2         ,1         ,"{TSF}",0.017,<0>  ,0.041,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0398,<0>  ,2.08,<0>  ,
"job09nut  ","P",11/13/2018 12:26,0,1,2         ,1         ,"{TSF}",0.019,<0>  ,0.03,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0576,<0>  ,2.36,<0>  ,
"job09nut  ","P",11/13/2018 14:37,0,1,2         ,1         ,"{TSH}",0.015,<-4> [SBL] ,0.01,<-4> [SBL] ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<-4> [SBL] ,3.15,<0>  ,
"job09nut  ","P",11/13/2018 16:48,0,1,2         ,1         ,"{TSE}",0.015,<-4> [SBL] ,0.019,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0398,<0>  ,2.82,<0>  ,
"job09nut  ","P",11/13/2018 18:59,0,1,2         ,1         ,"{TSE}",0.015,<-4> [SBL] ,0.055,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0753,<0>  ,2.78,<0>  ,
"job09nut  ","P",11/13/2018 21:10,0,1,2         ,1         ,"{TSE}",0.015,<-4> [SBL] ,0.109,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0487,<0>  ,1.93,<0>  ,
"job09nut  ","P",11/13/2018 23:21,0,1,2         ,1         ,"{TSE}",0.055,<0>  ,0.021,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<-4> [SBL] ,1.8,<0>  ,
"job09nut  ","P",11/14/2018 1:32,0,1,2         ,1         ,"{TSL}",0.093,<0>  ,0.094,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0354,<0>  ,2.52,<0>  ,
"job09nut  ","P",11/14/2018 3:43,0,1,2         ,1         ,"{TSF}",0.092,<0>  ,0.018,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.022,<-4> [SBL] ,1.44,<0>  ,
"job09nut  ","P",11/14/2018 5:54,0,1,2         ,1         ,"{TSF}",0.096,<0>  ,0.03,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0443,<0>  ,2.04,<0>  ,
"job09nut  ","P",11/14/2018 8:05,0,1,2         ,1         ,"{TSF}",0.078,<0>  ,0.037,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0576,<0>  ,2.59,<0>  ,
"job09nut  ","P",11/14/2018 10:16,0,1,2         ,1         ,"{TSF}",0.047,<0>  ,0.045,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.1063,<0>  ,2.19,<0>  ,
"job09nut  ","P",11/14/2018 10:23,0,1,1         ,1         ,"{COC} {PNP} {TSF} {WH0} {SE} {WS1}",0.025,<0>  ,0.045,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.1018,<0>  ,1.47,<0>  ,
"job09nut  ","P",11/14/2018 10:24,0,1,1         ,2         ,"{COC} {PNP} {TSF} {WH0} {SE} {WS1}",0.049,<0>  ,0.072,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.0886,<0>  ,1.2,<0>  ,
"job09nut  ","P",12/18/2018 10:00,0,1,2         ,1         ,"{TSE}",0.02,<0>  ,0.034,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.069,<0>  ,2.21,<0>  ,
"job09nut  ","P",12/18/2018 12:11,0,1,2         ,1         ,"{TSE}",0.018,<0>  ,0.059,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.071,<0>  ,2.54,<0>  ,
"job09nut  ","P",12/18/2018 14:22,0,1,2         ,1         ,"{TSE}",0.019,<0>  ,0.018,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.078,<0>  ,8.26,<0>  ,
"job09nut  ","P",12/18/2018 16:33,0,1,2         ,1         ,"{TSE}",0.024,<0>  ,0.026,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.082,<0>  ,6.2,<0>  ,
"job09nut  ","P",12/18/2018 18:44,0,1,2         ,1         ,"{TSE}",0.023,<0>  ,0.049,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.058,<0>  ,6.54,<0>  ,
"job09nut  ","P",12/18/2018 20:55,0,1,2         ,1         ,"{TSE}",0.02,<0>  ,0.061,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.05,<0>  ,4.15,<0>  ,
"job09nut  ","P",12/18/2018 23:06,0,1,2         ,1         ,"{TSL}",0.034,<0>  ,0.069,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.094,<0>  ,3.12,<0>  ,
"job09nut  ","P",12/19/2018 1:17,0,1,2         ,1         ,"{TSF}",0.028,<0>  ,0.042,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.065,<0>  ,2.57,<0>  ,
"job09nut  ","P",12/19/2018 3:28,0,1,2         ,1         ,"{TSF}",0.023,<0>  ,0.061,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.06,<0>  ,3.13,<0>  ,
"job09nut  ","P",12/19/2018 5:39,0,1,2         ,1         ,"{TSF}",0.02,<0>  ,0.071,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.059,<0>  ,2.57,<0>  ,
"job09nut  ","P",12/19/2018 7:50,0,1,2         ,1         ,"{TSH}",0.015,<-4> [SBL] ,0.06,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.056,<0>  ,2.76,<0>  ,
"job09nut  ","P",12/19/2018 10:01,0,1,2         ,1         ,"{TSF}",0.015,<-4> [SBL] ,0.051,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.039,<0>  ,3.23,<0>  ,
"job09nut  ","P",12/19/2018 10:05,0,1,1         ,1         ,"{CSP} {PNP} {TSH} {WH0} {ESE} {WS0}",0.015,<-4> [SBL] ,0.047,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.031,<0>  ,2.63,<0>  ,
"job09nut  ","P",12/19/2018 10:06,0,1,1         ,2         ,"{CSP} {PNP} {TSH} {WH0} {ESE} {WS0}",0.015,<-4> [SBL] ,0.051,<0>  ,0.016,<-4> [SBL] ,"",<-4> [SCB] ,0.039,<0>  ,2.7,<0>  ,

